date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity,dif_temperature,dif_weight,dif_tavg,dif_tmin,dif_tmax,dif_prcp,dif_tsun,dif_humidity
2017-01-01,0.0205890780080193,-4.9,-3.0,-6.7,0.0,0,91.98409722222225,52.67111111111112,LOW,-3.0619675041175847,0.0527940277777432,-4.1000000000000005,-3.6,-4.1,-0.1,-30,1.8175694444444872
2017-01-02,1.8255784118357483,-1.0,0.5,-3.1,0.8,6,92.79472222222222,52.67111111111112,LOW,-1.2569781702898557,0.0527940277777432,-0.1999999999999999,0.5,-0.6000000000000001,0.7000000000000001,-24,2.6281944444444605
2017-01-03,3.082556582125604,0.4,2.2,-1.3,0.1,42,91.17347222222224,52.65376729166669,LOW,0.8233312801932362,0.0354502083333159,1.4,2.3,1.3000000000000005,0.0,18,1.0069444444444855
2017-01-04,3.750071482487922,1.0,2.4,-0.9,1.9,24,91.07791666666668,52.61083458333338,HIGH,1.4908461805555544,-0.0127559722222017,2.0,2.7,1.5,1.7999999999999998,-6,0.911388888888922
2017-01-05,2.259225301932368,-1.8,1.4,-7.0,0.0,96,82.65607638888889,52.62359055555558,HIGH,-0.8233312801932362,0.0052734722222069,-1.0,-3.9,0.4999999999999999,-0.1,72,-8.42184027777779
2017-01-06,-0.9377708484299516,-2.475,-4.7,-6.35,0.0,480,91.54534722222223,52.29232611111112,HIGH,-4.020327430555556,-0.3259909722222502,-1.675,-3.25,-5.800000000000001,-0.1,450,1.378819444444474
2017-01-07,-2.648781748188405,-1.36875,-4.4,-4.612500000000001,0.1,30,89.07736111111109,52.38475888888891,LOW,-6.308306612318839,-0.2260756944444679,-1.2687499999999998,-3.1125000000000007,-5.800000000000001,0.0,0,-1.0538194444444713
2017-01-08,1.812448611111111,-1.1,0.9,-4.5,0.1,0,90.13118055555556,52.64971104166668,LOW,-1.937622871376811,0.0749595833333174,-1.0,-3.0,-0.4999999999999999,0.0,-24,1.0538194444444713
2017-01-09,3.6595248641304345,-0.1,0.9,-0.6,0.0,0,90.16652777777776,52.61831708333337,HIGH,-0.3750621527777782,0.1428114583333837,0.0,0.9,-0.4999999999999999,-0.1,-30,2.2928472222221927
2017-01-10,4.034587016908213,-0.8,1.1,-3.6,0.0,78,86.3720138888889,52.57475145833336,HIGH,-0.0507025815217385,0.1527842361111524,-0.7000000000000001,-2.1,-1.2999999999999998,-0.3,48,-1.5016666666666652
2017-01-11,4.752350241545894,1.2,4.5,-1.5,1.1,0,87.87368055555557,52.47550562499999,LOW,0.6670606431159429,0.0535384027777823,1.3,0.0,2.1,0.8,-30,0.0
2017-01-12,6.899888707729468,3.5,4.8,2.1,3.4,12,84.40236111111112,52.42196722222221,HIGH,2.8145991092995164,0.0,3.6,3.6,2.4,3.1,-18,-2.930000000000007
2017-01-13,5.965962047101449,2.0,5.8,-1.0,0.4,0,80.83861805555556,52.28511916666667,HIGH,1.8806724486714976,0.0,2.1,0.5,3.4,0.1,-54,-6.164506944444455
2017-01-14,4.471487167874397,1.0,2.5,-0.4,0.3,30,85.1835486111111,52.18620951388889,LOW,0.3861975694444455,-0.073089930555561,1.3,1.8000000000000005,0.1,0.0,-48,-1.8195763888889047
2017-01-15,4.085289598429951,-0.3,2.4,-2.2,0.6,54,87.00312500000001,52.25929944444445,HIGH,-0.3861975694444455,0.0237704166666787,0.0,0.0,-0.1,0.3,-150,0.0
2017-01-16,2.929196165458937,-3.4,-1.4,-6.5,0.0,204,89.96993055555556,52.12863590277777,LOW,-1.54229100241546,-0.0575736111111169,-0.6000000000000001,-0.7999999999999998,-3.8,0.0,-24,3.937749999999994
2017-01-17,2.4983240036231886,-3.0,-0.4,-5.7,0.0,228,87.33236111111113,52.23552902777777,LOW,-1.973163164251208,0.1068931249999991,0.0,0.7999999999999998,-2.1,0.0,-174,0.7335416666666958
2017-01-18,3.478641500603865,-3.8,-0.9,-7.4,0.0,402,86.03218055555557,52.081065625,LOW,-0.6066480978260862,0.0,-0.3999999999999999,0.0,-1.0,0.0,-30,-0.9709444444444416
2017-01-19,3.4917176026570043,-4.6,0.1,-8.8,0.0,504,90.28916666666667,51.85140284722224,HIGH,0.0,0.0,-0.9999999999999996,-0.5750000000000011,0.5,0.0,72,2.9568055555555475
2017-01-20,5.79679338768116,-2.8,3.5,-8.3,0.0,510,84.8114236111111,51.77167027777779,HIGH,2.305075785024156,-0.000870833333316,1.0,-0.075000000000001,3.9,0.0,78,-5.1585069444444684
2017-01-21,5.499719806763285,-3.6,1.7,-8.5,0.0,498,83.64284027777778,51.76248118055554,HIGH,0.6423748490338177,-0.0091890972222472,0.1999999999999997,-0.2750000000000003,2.1,0.0,60,-3.689520833333347
2017-01-22,4.857344957729468,-5.4,-0.4,-9.5,0.0,462,86.59881944444443,51.75404333333333,LOW,-0.1582918176328522,-0.0084378472222113,-1.6000000000000003,-1.2750000000000004,-0.5,0.0,0,-3.5877083333333246
